,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
65,600066.XSHG,600066,郑州客车,XSHG,1997/8/11,21.13,21.13,21.13,21.4,19.48,19.5,844610,16884328,,0.0241,0.022458922,682500000,1423500000,-0.0771,,,4.1993,1,,-0.0126,
66,600066.XSHG,600066,郑州客车,XSHG,1997/8/12,19.5,19.5,19.5,19.93,18.89,18.98,391778,7645197,,0.0112,0.022458922,664300000,1385540000,-0.0267,,,4.0873,1,,-0.0771,
67,600066.XSHG,600066,郑州客车,XSHG,1997/8/13,18.98,18.98,19,19.1,17.08,17.3,875175,15634747,,0.025,0.022458922,605500000,1262900000,-0.0885,,,3.7255,1,,-0.0267,
68,600066.XSHG,600066,郑州客车,XSHG,1997/8/14,17.3,17.3,17.4,19.02,16.8,18.45,767710,14147589,,0.0219,0.022458922,645750000,1346850000,0.0665,,,3.9732,1,,-0.0885,
69,600066.XSHG,600066,郑州客车,XSHG,1997/8/15,18.45,18.45,18.89,18.95,18.1,18.3,310114,5735792,,0.0089,0.022458922,640500000,1335900000,-0.0081,,,3.9409,1,,0.0665,
70,600066.XSHG,600066,郑州客车,XSHG,1997/8/18,18.3,18.3,18,18.5,18,18.3,227428,4169391,,0.0065,0.022458922,640500000,1335900000,0,,,3.9409,1,,-0.0081,
71,600066.XSHG,600066,郑州客车,XSHG,1997/8/19,18.3,18.3,18.28,18.68,18.28,18.48,106177,1970090,,0.003,0.022458922,646800000,1349040000,0.0098,,,3.9796,1,,0,
72,600066.XSHG,600066,郑州客车,XSHG,1997/8/20,18.48,18.48,18.9,18.95,18.48,18.95,138350,2580115,,0.004,0.022458922,663250000,1383350000,0.0254,,,4.0808,1,,0.0098,
73,600066.XSHG,600066,郑州客车,XSHG,1997/8/21,18.95,18.95,18.88,19.3,18.7,19.3,262145,4971824,,0.0075,0.022458922,675500000,1408900000,0.0185,,,4.1562,1,,0.0254,
74,600066.XSHG,600066,郑州客车,XSHG,1997/8/22,19.3,19.3,19.18,19.49,18.9,19.36,333635,6395516,,0.0095,0.022458922,677600000,1413280000,0.0031,,,4.1691,1,,0.0185,
75,600066.XSHG,600066,郑州客车,XSHG,1997/8/25,19.36,19.36,19,19.58,18.8,19.07,343455,6598853,,0.0098,0.022458922,667450000,1392110000,-0.015,,,4.1067,1,,0.0031,
76,600066.XSHG,600066,郑州客车,XSHG,1997/8/26,19.07,19.07,18.86,19.06,18.57,18.6,289300,5438284,,0.0083,0.022458922,651000000,1357800000,-0.0246,,,4.0055,1,,-0.015,
77,600066.XSHG,600066,郑州客车,XSHG,1997/8/27,18.6,18.6,18.6,18.78,18.1,18.18,459097,8420474,,0.0131,0.022458922,636300000,1327140000,-0.0226,,,3.915,1,,-0.0246,
78,600066.XSHG,600066,郑州客车,XSHG,1997/8/28,18.18,18.18,18.3,18.4,18.18,18.28,297200,5435361,,0.0085,0.022458922,639800000,1334440000,0.0055,,,3.9366,1,,-0.0226,
79,600066.XSHG,600066,郑州客车,XSHG,1997/8/29,18.28,18.28,18.28,18.35,18.1,18.2,286349,5210135,,0.0082,0.022458922,637000000,1328600000,-0.0044,,,3.9193,1,,0.0055,
80,600066.XSHG,600066,郑州客车,XSHG,1997/9/1,18.2,18.2,18.2,18.3,18,18.17,274720,4976947,,0.0078,0.022458922,635950000,1326410000,-0.0016,,,3.9129,1,,-0.0044,
81,600066.XSHG,600066,郑州客车,XSHG,1997/9/2,18.17,18.17,18.28,18.87,18.28,18.73,251639,4701568,,0.0072,0.022458922,655550000,1367290000,0.0308,,,4.0335,1,,-0.0016,
82,600066.XSHG,600066,郑州客车,XSHG,1997/9/3,18.73,18.73,18.88,19.18,18.88,19.1,232928,4453666,,0.0067,0.022458922,668500000,1394300000,0.0198,,,4.1131,1,,0.0308,
83,600066.XSHG,600066,郑州客车,XSHG,1997/9/4,19.1,19.1,19.18,19.25,18.9,19.25,252726,4827832,,0.0072,0.022458922,673750000,1405250000,0.0079,,,4.1454,1,,0.0198,
84,600066.XSHG,600066,郑州客车,XSHG,1997/9/5,19.25,19.25,19.2,19.26,19.01,19.18,228754,4385798,,0.0065,0.022458922,671300000,1400140000,-0.0036,,,4.1304,1,,0.0079,
85,600066.XSHG,600066,郑州客车,XSHG,1997/9/8,19.18,19.18,19.22,19.22,18.79,18.9,158160,2990379,,0.0045,0.022458922,661500000,1379700000,-0.0146,,,4.0701,1,,-0.0036,
86,600066.XSHG,600066,郑州客车,XSHG,1997/9/9,18.9,18.9,18.9,18.9,18.51,18.51,181083,3366557,,0.0052,0.022458922,647850000,1351230000,-0.0206,,,3.9861,1,,-0.0146,
87,600066.XSHG,600066,郑州客车,XSHG,1997/9/10,18.51,18.51,18.48,18.61,18.48,18.6,123402,2290730,,0.0035,0.022458922,651000000,1357800000,0.0049,,,4.0055,1,,-0.0206,
88,600066.XSHG,600066,郑州客车,XSHG,1997/9/11,18.6,18.6,18.61,19.48,18.55,18.86,280532,5306199,,0.008,0.022458922,660100000,1376780000,0.014,,,4.0615,1,,0.0049,
89,600066.XSHG,600066,郑州客车,XSHG,1997/9/12,18.86,18.86,18.9,19.1,18.4,18.5,132105,2473964,,0.0038,0.022458922,647500000,1350500000,-0.0191,,,3.9839,1,,0.014,
90,600066.XSHG,600066,郑州客车,XSHG,1997/9/15,18.5,18.5,18.52,18.55,18.3,18.34,143585,2644313,,0.0041,0.022458922,641900000,1338820000,-0.0086,,,3.9495,1,,-0.0191,
